"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 11 06:08:00 GMT 2021","Thu Nov 11 06:08:00 GMT 2021","1","src.test.java.testCodi.a01binaryGap","test_solution_binary_gap","","","","test_solution_binary_gap[1610612737-28]",""
"passed","Thu Nov 11 06:08:00 GMT 2021","Thu Nov 11 06:08:00 GMT 2021","0","src.test.java.testCodi.a03PermMissingElem","test_perm_missing_element","","","","test_perm_missing_element[input_array5-4]",""
"passed","Thu Nov 11 06:11:58 GMT 2021","Thu Nov 11 06:11:58 GMT 2021","13","","testCodi.a01BinaryGap.SolutionTest","","testCodi.a01BinaryGap.SolutionTest","testBinaryGapJava","[15] 19, 2",""
"passed","Thu Nov 11 06:08:00 GMT 2021","Thu Nov 11 06:08:00 GMT 2021","0","src.test.java.testCodi.a02CyclicRotation","test_solution_cyclic_rotation","","","","test_solution_cyclic_rotation[input_array0-3-expected_result0]",""
"passed","Thu Nov 11 06:08:00 GMT 2021","Thu Nov 11 06:08:00 GMT 2021","0","src.test.java.testCodi.a01binaryGap","test_solution_binary_gap","","","","test_solution_binary_gap[42-1]",""
"passed","Thu Nov 11 06:11:58 GMT 2021","Thu Nov 11 06:11:58 GMT 2021","6","","testCodi.a01BinaryGap.SolutionTest","","testCodi.a01BinaryGap.SolutionTest","testBinaryGapKotlin","[13] 1024, 0",""
"passed","Thu Nov 11 06:08:00 GMT 2021","Thu Nov 11 06:08:00 GMT 2021","0","src.test.java.testCodi.a02OddOccurrencesInArray","test_odd_occurrences_in_array","","","","test_odd_occurrences_in_array[input_array2-42]",""
"passed","Thu Nov 11 06:08:14 GMT 2021","Thu Nov 11 06:08:14 GMT 2021","2","","src/main/java/testCodi/a03PermMissingElem/solution_perm_missing_element.test.js","","src/main/java/testCodi/a03PermMissingElem/solution_perm_missing_element.test.js","test02","test02",""
"failed","Thu Nov 11 06:08:00 GMT 2021","Thu Nov 11 06:08:00 GMT 2021","1","src.test.java.testCodi.problems.NextVacation","test_next_vacation","","","","test_next_vacation[input1-3]",""
"passed","Thu Nov 11 06:11:58 GMT 2021","Thu Nov 11 06:11:58 GMT 2021","8","","testCodi.a01BinaryGap.SolutionTest","","testCodi.a01BinaryGap.SolutionTest","testBinaryGapJava","[7] 1, 0",""
"passed","Thu Nov 11 06:11:58 GMT 2021","Thu Nov 11 06:11:58 GMT 2021","12","","testCodi.a01BinaryGap.SolutionTest","","testCodi.a01BinaryGap.SolutionTest","testBinaryGapJava","[21] 6291457, 20",""
"passed","Thu Nov 11 06:08:00 GMT 2021","Thu Nov 11 06:08:00 GMT 2021","0","src.test.java.testCodi.a03PermMissingElem","test_perm_missing_element","","","","test_perm_missing_element[input_array7-2]",""
"passed","Thu Nov 11 06:11:57 GMT 2021","Thu Nov 11 06:11:58 GMT 2021","111","","testCodi.a01BinaryGap.SolutionTest","","testCodi.a01BinaryGap.SolutionTest","testBinaryGapJava","[3] 20, 1",""
"passed","Thu Nov 11 06:08:00 GMT 2021","Thu Nov 11 06:08:00 GMT 2021","0","src.test.java.testCodi.a01binaryGap","test_solution_binary_gap","","","","test_solution_binary_gap[1024-0]",""
"passed","Thu Nov 11 06:11:58 GMT 2021","Thu Nov 11 06:11:58 GMT 2021","37","","testCodi.a01BinaryGap.SolutionTest","","testCodi.a01BinaryGap.SolutionTest","testBinaryGapJava","[10] 6, 0",""
"passed","Thu Nov 11 06:11:58 GMT 2021","Thu Nov 11 06:11:58 GMT 2021","5","","testCodi.a01BinaryGap.SolutionTest","","testCodi.a01BinaryGap.SolutionTest","testBinaryGapJava","[12] 16, 0",""
"passed","Thu Nov 11 06:11:58 GMT 2021","Thu Nov 11 06:11:58 GMT 2021","16","","testCodi.a01BinaryGap.SolutionTest","","testCodi.a01BinaryGap.SolutionTest","testBinaryGapKotlin","[1] 9, 2",""
"passed","Thu Nov 11 06:08:00 GMT 2021","Thu Nov 11 06:08:00 GMT 2021","0","src.test.java.testCodi.a01binaryGap","test_solution_binary_gap","","","","test_solution_binary_gap[20-1]",""
"passed","Thu Nov 11 06:08:00 GMT 2021","Thu Nov 11 06:08:00 GMT 2021","0","src.test.java.testCodi.a01binaryGap","test_solution_binary_gap","","","","test_solution_binary_gap[6-0]",""
"passed","Thu Nov 11 06:08:00 GMT 2021","Thu Nov 11 06:08:00 GMT 2021","0","src.test.java.testCodi.a01binaryGap","test_solution_binary_gap","","","","test_solution_binary_gap[16-0]",""
"passed","Thu Nov 11 06:11:58 GMT 2021","Thu Nov 11 06:11:58 GMT 2021","1","","testCodi.a01BinaryGap.SolutionTest","","testCodi.a01BinaryGap.SolutionTest","testBinaryGapKotlin","[12] 16, 0",""
"passed","Thu Nov 11 06:08:00 GMT 2021","Thu Nov 11 06:08:00 GMT 2021","1","src.test.java.testCodi.a03PermMissingElem","test_perm_missing_element","","","","test_perm_missing_element[input_array6-3]",""
"passed","Thu Nov 11 06:08:13 GMT 2021","Thu Nov 11 06:08:13 GMT 2021","1","","solution([ 1, 2, 3, 1, 1, 2, 4, 5, -1000000, 1000000, [length]: 10 ]) should equal 6","","solution([ 1, 2, 3, 1, 1, 2, 4, 5, -1000000, 1000000, [length]: 10 ]) should equal 6","input = 1,2,3,1,1,2,4,5,-1000000,1000000, returns 6","input = 1,2,3,1,1,2,4,5,-1000000,1000000, returns 6",""
"passed","Thu Nov 11 06:08:00 GMT 2021","Thu Nov 11 06:08:00 GMT 2021","1","src.test.java.testCodi.a03TapeEquilibrium","test_tape_equilibrium","","","","test_solution_cyclic_rotation[input_array16-680]",""
"passed","Thu Nov 11 06:11:58 GMT 2021","Thu Nov 11 06:11:58 GMT 2021","14","","testCodi.a01BinaryGap.SolutionTest","","testCodi.a01BinaryGap.SolutionTest","testBinaryGapJava","[20] 66561, 9",""
"passed","Thu Nov 11 06:11:58 GMT 2021","Thu Nov 11 06:11:58 GMT 2021","9","","testCodi.a01BinaryGap.SolutionTest","","testCodi.a01BinaryGap.SolutionTest","testBinaryGapKotlin","[7] 1, 0",""
"passed","Thu Nov 11 06:11:58 GMT 2021","Thu Nov 11 06:11:58 GMT 2021","8","","testCodi.a01BinaryGap.SolutionTest","","testCodi.a01BinaryGap.SolutionTest","testBinaryGapKotlin","[17] 1162, 3",""
"passed","Thu Nov 11 06:08:00 GMT 2021","Thu Nov 11 06:08:00 GMT 2021","0","src.test.java.testCodi.a03TapeEquilibrium","test_tape_equilibrium","","","","test_solution_cyclic_rotation[input_array0-1]",""
"passed","Thu Nov 11 06:08:00 GMT 2021","Thu Nov 11 06:08:00 GMT 2021","0","src.test.java.testCodi.a03TapeEquilibrium","test_tape_equilibrium","","","","test_solution_cyclic_rotation[input_array3-1]",""
"passed","Thu Nov 11 06:08:00 GMT 2021","Thu Nov 11 06:08:00 GMT 2021","1","src.test.java.testCodi.a03TapeEquilibrium","test_tape_equilibrium","","","","test_solution_cyclic_rotation[input_array13-234]",""
"passed","Thu Nov 11 06:08:00 GMT 2021","Thu Nov 11 06:08:00 GMT 2021","0","src.test.java.testCodi.a03FrogJmp","test_frog_jmp","","","","test_frog_jmp[100-100-2-0]",""
"passed","Thu Nov 11 06:11:58 GMT 2021","Thu Nov 11 06:11:58 GMT 2021","11","","testCodi.a01BinaryGap.SolutionTest","","testCodi.a01BinaryGap.SolutionTest","testBinaryGapJava","[16] 42, 1",""
"passed","Thu Nov 11 06:08:00 GMT 2021","Thu Nov 11 06:08:00 GMT 2021","0","src.test.java.testCodi.a03TapeEquilibrium","test_tape_equilibrium","","","","test_solution_cyclic_rotation[input_array12-39]",""
"passed","Thu Nov 11 06:08:00 GMT 2021","Thu Nov 11 06:08:00 GMT 2021","0","src.test.java.testCodi.a03PermMissingElem","test_perm_missing_element","","","","test_perm_missing_element[input_array8-1]",""
"passed","Thu Nov 11 06:08:00 GMT 2021","Thu Nov 11 06:08:00 GMT 2021","0","src.test.java.testCodi.a04PermCheck","test_perm_check","","","","test_perm_check[input0-1]",""
